Link,Team,CTRCT,Cap Hit,Image
https://www.eliteprospects.com/player/4295/mikael-backlund,Calgary Flames,25/26,"$4,500,000",calgary_flames.png
https://www.eliteprospects.com/player/271111/yegor-sharangovich,Calgary Flames,28/29,"$3,100,000",calgary_flames.png
https://www.eliteprospects.com/player/351805/connor-zary,Calgary Flames,24/25,"$863,334",calgary_flames.png
https://www.eliteprospects.com/player/341691/martin-pospisil,Calgary Flames,25/26,"$1,000,000",calgary_flames.png
https://www.eliteprospects.com/player/180925/kevin-rooney,Calgary Flames,24/25,"$1,300,000",calgary_flames.png
https://www.eliteprospects.com/player/191376/clark-bishop,Calgary Flames,24/25,"$775,000",calgary_flames.png
https://www.eliteprospects.com/player/504297/rory-kerins,Calgary Flames,24/25,"$846,667",calgary_flames.png
https://www.eliteprospects.com/player/514152/ilya-nikolayev,Calgary Flames,24/25,"$836,667",calgary_flames.png
https://www.eliteprospects.com/player/431915/cole-schwindt,Calgary Flames,,,calgary_flames.png
https://www.eliteprospects.com/player/647938/trevor-hoskin,Calgary Flames,,,calgary_flames.png
https://www.eliteprospects.com/player/698042/luke-misa,Calgary Flames,,,calgary_flames.png
https://www.eliteprospects.com/player/585619/jaden-lipinski,Calgary Flames,,,calgary_flames.png
https://www.eliteprospects.com/player/747334/hunter-laing,Calgary Flames,,,calgary_flames.png
https://www.eliteprospects.com/player/634828/cade-littler,Calgary Flames,,,calgary_flames.png
https://www.eliteprospects.com/player/45261/jonathan-huberdeau,Calgary Flames,30/31,"$10,500,000",calgary_flames.png
https://www.eliteprospects.com/player/211807/andrey-kuzmenko,Calgary Flames,24/25,"$5,500,000",calgary_flames.png
https://www.eliteprospects.com/player/76376/ryan-lomberg,Calgary Flames,25/26,"$2,000,000",calgary_flames.png
https://www.eliteprospects.com/player/84609/dryden-hunt,Calgary Flames,24/25,"$775,000",calgary_flames.png
https://www.eliteprospects.com/player/63133/justin-kirkland,Calgary Flames,24/25,"$775,000",calgary_flames.png
https://www.eliteprospects.com/player/486944/william-stromgren,Calgary Flames,25/26,"$900,833",calgary_flames.png
https://www.eliteprospects.com/player/475634/lucas-ciona,Calgary Flames,25/26,"$830,000",calgary_flames.png
https://www.eliteprospects.com/player/578968/samuel-honzek,Calgary Flames,26/27,"$918,333",calgary_flames.png
https://www.eliteprospects.com/player/539062/parker-bell,Calgary Flames,25/26,"$857,500",calgary_flames.png
https://www.eliteprospects.com/player/274009/sam-morton,Calgary Flames,24/25,"$870,000",calgary_flames.png
https://www.eliteprospects.com/player/410525/jakob-pelletier,Calgary Flames,,,calgary_flames.png
https://www.eliteprospects.com/player/677806/andrew-basha,Calgary Flames,,,calgary_flames.png
https://www.eliteprospects.com/player/620335/aydar-suniev,Calgary Flames,,,calgary_flames.png
https://www.eliteprospects.com/player/268038/pavel-karnaukhov,Calgary Flames,,,calgary_flames.png
https://www.eliteprospects.com/player/354063/demetrios-koumontzis,Calgary Flames,,,calgary_flames.png
https://www.eliteprospects.com/player/46889/blake-coleman,Calgary Flames,26/27,"$4,900,000",calgary_flames.png
https://www.eliteprospects.com/player/104045/anthony-mantha,Calgary Flames,24/25,"$3,500,000",calgary_flames.png
https://www.eliteprospects.com/player/234647/walker-duehr,Calgary Flames,24/25,"$825,000",calgary_flames.png
https://www.eliteprospects.com/player/462501/matt-coronato,Calgary Flames,24/25,"$925,000",calgary_flames.png
https://www.eliteprospects.com/player/56033/martin-frk,Calgary Flames,24/25,"$775,000",calgary_flames.png
https://www.eliteprospects.com/player/318741/adam-klapka,Calgary Flames,24/25,"$775,000",calgary_flames.png
https://www.eliteprospects.com/player/527724/matvei-gridin,Calgary Flames,26/27,"$975,000",calgary_flames.png
https://www.eliteprospects.com/player/597679/jacob-battaglia,Calgary Flames,,,calgary_flames.png
https://www.eliteprospects.com/player/123542/eetu-tuulola,Calgary Flames,,,calgary_flames.png
https://www.eliteprospects.com/player/86137/rasmus-andersson,Calgary Flames,25/26,"$4,550,000",calgary_flames.png
https://www.eliteprospects.com/player/97908/mackenzie-weegar,Calgary Flames,30/31,"$6,250,000",calgary_flames.png
https://www.eliteprospects.com/player/199660/jake-bean,Calgary Flames,25/26,"$1,750,000",calgary_flames.png
https://www.eliteprospects.com/player/248583/kevin-bahl,Calgary Flames,24/25,"$1,050,000",calgary_flames.png
https://www.eliteprospects.com/player/289399/daniil-miromanov,Calgary Flames,25/26,"$1,250,000",calgary_flames.png
https://www.eliteprospects.com/player/33730/joel-hanley,Calgary Flames,24/25,"$787,500",calgary_flames.png
https://www.eliteprospects.com/player/201561/brayden-pachal,Calgary Flames,24/25,"$775,000",calgary_flames.png
https://www.eliteprospects.com/player/201907/jeremie-poirier,Calgary Flames,24/25,"$823,333",calgary_flames.png
https://www.eliteprospects.com/player/440410/yan-kuznetsov,Calgary Flames,24/25,"$775,000",calgary_flames.png
https://www.eliteprospects.com/player/354151/jonathan-aspirot,Calgary Flames,24/25,"$775,000",calgary_flames.png
https://www.eliteprospects.com/player/539222/artyom-grushnikov,Calgary Flames,25/26,"$814,167",calgary_flames.png
https://www.eliteprospects.com/player/526088/hunter-brzustewicz,Calgary Flames,26/27,"$950,000",calgary_flames.png
https://www.eliteprospects.com/player/530726/joni-jurmo,Calgary Flames,25/26,"$850,000",calgary_flames.png
https://www.eliteprospects.com/player/535574/zayne-parekh,Calgary Flames,26/27,"$975,000",calgary_flames.png
https://www.eliteprospects.com/player/599308/etienne-morin,Calgary Flames,26/27,"$903,333",calgary_flames.png
https://www.eliteprospects.com/player/398144/nikita-okhotyuk,Calgary Flames,,,calgary_flames.png
https://www.eliteprospects.com/player/490245/ilya-solovyov,Calgary Flames,,,calgary_flames.png
https://www.eliteprospects.com/player/577193/henry-mews,Calgary Flames,,,calgary_flames.png
https://www.eliteprospects.com/player/670790/eric-jamieson,Calgary Flames,,,calgary_flames.png
https://www.eliteprospects.com/player/640415/axel-hurtig,Calgary Flames,,,calgary_flames.png
https://www.eliteprospects.com/player/494419/jake-boltmann,Calgary Flames,,,calgary_flames.png
https://www.eliteprospects.com/player/212714/carl-johan-lerby,Calgary Flames,,,calgary_flames.png
https://www.eliteprospects.com/player/152111/sebastian-aho,Carolina Hurricanes,31/32,"$9,750,000",carolina_hurricanes.png
https://www.eliteprospects.com/player/237071/martin-ne%C4%8Das,Carolina Hurricanes,25/26,"$6,500,000",carolina_hurricanes.png
https://www.eliteprospects.com/player/201952/seth-jarvis,Carolina Hurricanes,31/32,"$7,420,087",carolina_hurricanes.png
https://www.eliteprospects.com/player/10157/jordan-staal,Carolina Hurricanes,26/27,"$2,900,000",carolina_hurricanes.png
https://www.eliteprospects.com/player/363872/jesperi-kotkaniemi,Carolina Hurricanes,29/30,"$4,820,000",carolina_hurricanes.png
